window_date,baseline_model_key,candidate_model_key,overall_t_plus_1h_deliverable_mae_delta_mwh,gb_nl_t_plus_1h_deliverable_mae_delta_mwh,gb_nl_reviewed_internal_t_plus_1h_deliverable_mae_delta_mwh,blocker_row_delta,severe_focus_area_delta,candidate_scope_row_count,promotion_state,source_lineage
2024-12-07 00:00:00+00:00,opportunity_potential_ratio_v2,opportunity_gb_nl_reviewed_specialist_v3,0.0,0.0,0.0,-20.0,0.0,114,candidate_mixed,fact_backtest_prediction_hourly|fact_backtest_summary_slice|fact_backtest_top_error_hourly|fact_drift_window
2024-12-08 00:00:00+00:00,opportunity_potential_ratio_v2,opportunity_gb_nl_reviewed_specialist_v3,0.0,0.0,0.0,-68.0,0.0,120,candidate_mixed,fact_backtest_prediction_hourly|fact_backtest_summary_slice|fact_backtest_top_error_hourly|fact_drift_window
2024-12-09 00:00:00+00:00,opportunity_potential_ratio_v2,opportunity_gb_nl_reviewed_specialist_v3,0.019751705610457027,0.019751705610457027,0.019751705610457027,-157.0,-1.0,120,candidate_regresses_baseline,fact_backtest_prediction_hourly|fact_backtest_summary_slice|fact_backtest_top_error_hourly|fact_drift_window
