settlement_date,lost_energy_block_reason,dispatch_half_hour_count,distinct_bmu_count,accepted_down_delta_mwh_lower_bound,dispatch_down_mwh_lower_bound,lost_energy_mwh,share_of_dispatch_rows,share_of_dispatch_down_mwh_lower_bound
2024-10-01,estimated,152,13,88.93333333333334,7115.675,4142.318126800313,1.0,1.0
2024-10-02,estimated,18,8,24.3,343.83333333333337,237.12189999999995,0.9,0.9932595089070776
2024-10-02,physical_below_generation,2,2,2.333333333333333,2.333333333333333,0.0,0.1,0.0067404910929224834
2024-10-03,estimated,54,14,23.083333333333336,2628.608333333334,1883.4588166666667,0.9473684210526315,0.9994296812868925
2024-10-03,physical_below_generation,3,3,1.5,1.5,0.0,0.05263157894736842,0.000570318713107508
2024-10-04,estimated,171,19,59.38333333333333,9503.525000000001,5352.127416666666,0.8382352941176471,0.7836757665320023
2024-10-04,availability_unknown,27,3,0.0,2610.5,0.0,0.1323529411764706,0.21526597641736006
2024-10-04,physical_inconsistent,2,2,8.833333333333332,8.833333333333332,0.0,0.00980392156862745,0.000728410697192114
2024-10-04,physical_below_generation,4,4,4.0,4.0,0.0,0.0196078431372549,0.0003298463534454856
2024-10-05,estimated,204,34,98.08333333333333,6150.716666666667,4224.103083333333,0.9315068493150684,0.9989335123444593
2024-10-05,physical_below_generation,13,10,4.833333333333333,4.833333333333333,0.0,0.0593607305936073,0.0007849782236213481
2024-10-05,physical_inconsistent,2,1,1.7333333333333334,1.7333333333333334,0.0,0.0091324200913242,0.00028150943191938
2024-10-06,estimated,63,14,32.766666666666666,1414.283333333333,1742.2370166666662,0.9545454545454546,0.9996348129299784
2024-10-06,physical_below_generation,3,2,0.5166666666666666,0.5166666666666666,0.0,0.045454545454545456,0.00036518707002167563
2024-10-07,estimated,100,14,12.866666666666667,3627.2833333333333,946.5598333333332,0.9345794392523364,0.9995636837947568
2024-10-07,physical_below_generation,7,6,1.5833333333333335,1.5833333333333335,0.0,0.06542056074766354,0.00043631620524314297
