settlement_date,settlement_period,interval_start_local,interval_end_local,interval_start_utc,interval_end_utc,source_key,source_label,target_is_proxy,elexon_bm_unit,national_grid_bm_unit,bm_unit_name,lead_party_name,fuel_type,bm_unit_type,gsp_group_id,gsp_group_name,generation_capacity_mw,mapping_status,mapping_confidence,mapping_rule,cluster_key,cluster_label,parent_region,generation_mwh,pn_level_from_mw,pn_level_to_mw,pn_mean_mw,pn_mwh,qpn_level_from_mw,qpn_level_to_mw,qpn_mean_mw,qpn_mwh,mils_level_from_mw,mils_level_to_mw,mils_mean_mw,mils_mwh,mels_level_from_mw,mels_level_to_mw,mels_mean_mw,mels_mwh,physical_baseline_source_dataset,physical_baseline_mwh,physical_consistency_flag,counterfactual_method,counterfactual_valid_flag
2024-10-01,1,2024-10-01 00:00:00+01:00,2024-10-01 00:30:00+01:00,2024-09-30 23:00:00+00:00,2024-09-30 23:30:00+00:00,balancing_physical,Elexon balancing physical positions,False,E_ASHWW-1,ASHWW-1,Andershaw Wind Farm,Statkraft Markets Gmbh,WIND,E,_N,South Scotland,35.0,unmapped,none,,,,,4.224,10.0,10.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,35.0,17.5,PN,5.0,True,pn_qpn_physical_max,True
2024-10-01,1,2024-10-01 00:00:00+01:00,2024-10-01 00:30:00+01:00,2024-09-30 23:00:00+00:00,2024-09-30 23:30:00+00:00,balancing_physical,Elexon balancing physical positions,False,E_BABAW-1,BABAW-1,Baillie Wind Farm,Statkraft Markets Gmbh,WIND,E,_P,North Scotland,52.5,unmapped,none,,,,,0.824,4.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,52.0,52.0,26.0,PN,2.0,True,pn_qpn_physical_max,True
2024-10-01,1,2024-10-01 00:00:00+01:00,2024-10-01 00:30:00+01:00,2024-09-30 23:00:00+00:00,2024-09-30 23:30:00+00:00,balancing_physical,Elexon balancing physical positions,False,E_BETHW-1,BETHW-1,BETHW-1,SP Renewables (UK) Limited,WIND,E,_P,North Scotland,29.75,unmapped,none,,,,,0.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,28.0,14.0,QPN,0.0,True,pn_qpn_physical_max,False
2024-10-01,1,2024-10-01 00:00:00+01:00,2024-10-01 00:30:00+01:00,2024-09-30 23:00:00+00:00,2024-09-30 23:30:00+00:00,balancing_physical,Elexon balancing physical positions,False,E_BNWKW-1,BNWKW-1,Burn of Whilk Windfarm,Eneco Energy Trade,WIND,E,_P,North Scotland,22.5,unmapped,none,,,,,0.94,2.0,3.0,2.5,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,22.0,11.0,PN,1.25,True,pn_qpn_physical_max,True
2024-10-01,1,2024-10-01 00:00:00+01:00,2024-10-01 00:30:00+01:00,2024-09-30 23:00:00+00:00,2024-09-30 23:30:00+00:00,balancing_physical,Elexon balancing physical positions,False,E_BRYBW-1,BRYBW-1,Berry Burn Wind Farm,Statkraft Markets Gmbh,WIND,E,_P,North Scotland,62.708,unmapped,none,,,,,2.769,6.0,5.0,5.5,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,66.0,66.0,33.0,PN,2.75,True,pn_qpn_physical_max,False
2024-10-01,1,2024-10-01 00:00:00+01:00,2024-10-01 00:30:00+01:00,2024-09-30 23:00:00+00:00,2024-09-30 23:30:00+00:00,balancing_physical,Elexon balancing physical positions,False,E_BTUIW-2,BTUIW-2,Beinn An Tuirc 2,SP Renewables (UK) Limited,WIND,E,_P,North Scotland,43.7,unmapped,none,,,,,5.267,5.0,5.0,5.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,43.0,43.0,21.5,PN,2.5,True,pn_qpn_physical_max,False
2024-10-01,1,2024-10-01 00:00:00+01:00,2024-10-01 00:30:00+01:00,2024-09-30 23:00:00+00:00,2024-09-30 23:30:00+00:00,balancing_physical,Elexon balancing physical positions,False,E_BTUIW-3,BTUIW-3,Beinn an Tuirc III Windfarm,SP Renewables (UK) Limited,WIND,E,_P,North Scotland,52.0,unmapped,none,,,,,9.648,12.0,12.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,25.0,PN,6.0,True,pn_qpn_physical_max,False
2024-10-01,1,2024-10-01 00:00:00+01:00,2024-10-01 00:30:00+01:00,2024-09-30 23:00:00+00:00,2024-09-30 23:30:00+00:00,balancing_physical,Elexon balancing physical positions,False,E_BURBO,BURBW-1,Burbo Offshore Wind,Orsted Burbo (UK) Limited,WIND,E,_D,Merseyside North Wales,90.0,unmapped,none,,,,,4.555,10.0,10.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,90.0,45.0,PN,5.0,True,pn_qpn_physical_max,True
2024-10-01,1,2024-10-01 00:00:00+01:00,2024-10-01 00:30:00+01:00,2024-09-30 23:00:00+00:00,2024-09-30 23:30:00+00:00,balancing_physical,Elexon balancing physical positions,False,E_CLFLW-1,CLFLW-1,Clachan Flats,SP Renewables (UK) Limited,WIND,E,_P,North Scotland,15.0,unmapped,none,,,,,1.147,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,3.5,PN,0.5,True,pn_qpn_physical_max,False
2024-10-01,1,2024-10-01 00:00:00+01:00,2024-10-01 00:30:00+01:00,2024-09-30 23:00:00+00:00,2024-09-30 23:30:00+00:00,balancing_physical,Elexon balancing physical positions,False,E_CNCLW-1,CNCLW-1,Coire Na Cloiche WF,Statkraft Markets Gmbh,WIND,E,_P,North Scotland,30.52,unmapped,none,,,,,1.286,3.0,4.0,3.5,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,30.0,15.0,PN,1.75,True,pn_qpn_physical_max,True
